0.000000	0.497804	normal
0.578933	1.440804	normal
2.019737	2.859843	normal
2.859843	3.482305	normal
4.083002	4.653230	normal
4.727229	5.854625	normal
6.272502	6.934140	normal
7.029903	7.595778	normal
8.353179	9.019170	normal
9.084463	9.937628	normal
10.394680	11.051965	normal
11.178199	12.009599	normal
12.623355	13.298052	normal
13.345933	14.138158	normal
14.712738	15.444022	normal
15.461434	16.201423	normal
16.610594	17.372348	normal
17.568228	18.199396	normal
18.978562	19.709841	normal
