0.082414	0.160414	wheeze
0.659414	0.979414	wheeze
1.310448	1.816827	normal
2.250414	2.672414	wheeze
2.976896	3.492482	normal
3.897414	4.273414	wheeze
4.680172	5.208034	normal
5.618414	5.975414	wheeze
6.299270	6.521414	normal
6.521414	6.688414	wheeze
7.182414	7.585414	wheeze
8.214414	8.320414	wheeze
8.857414	9.278414	wheeze
9.788321	10.098540	wheeze
10.504414	10.907414	wheeze
11.429414	11.675414	wheeze
12.291971	12.717153	wheeze
12.965328	13.279414	normal
13.279414	13.544414	wheeze
13.996350	14.520073	wheeze
14.834414	15.181414	wheeze
15.778414	16.153414	wheeze
16.703414	16.949414	wheeze
17.480414	17.892414	wheeze
