0.264000	0.450000	wheeze
0.722000	0.850000	wheeze
2.029101	2.422000	normal
2.422000	2.907000	wheeze
3.322000	3.536000	wheeze
4.582345	5.603643	normal
7.056883	7.364000	normal
7.364000	7.993000	wheeze
8.479000	8.750000	wheeze
9.610127	10.036000	normal
10.036000	10.585325	wheeze
10.936000	11.283921	wheeze
12.107000	12.807000	wheeze
13.193000	13.836000	wheeze
14.379729	15.036729	wheeze
15.443581	16.213100	normal
16.808857	17.236000	normal
17.236000	17.581923	wheeze
17.936000	18.207000	wheeze
