0.634848	1.163887	wheeze
1.266423	1.755474	normal
2.272774	2.694118	wheeze
2.908428	3.442629	normal
3.891668	4.434118	wheeze
4.591033	5.184590	normal
5.588118	5.822118	wheeze
5.835118	6.090118	wheeze
6.271056	6.797516	normal
7.238812	7.726561	wheeze
7.873294	8.235699	normal
8.860683	9.180118	wheeze
9.166118	9.412118	wheeze
9.619118	9.828118	wheeze
10.503205	10.827118	wheeze
10.831118	11.142118	wheeze
11.244688	11.677412	normal
12.173118	12.604118	wheeze
12.617118	12.863118	wheeze
12.947963	13.340791	normal
13.876118	14.657377	wheeze
14.816963	15.249687	normal
15.671118	15.963118	wheeze
15.920118	16.379118	wheeze
16.483411	16.909997	normal
17.373118	18.081118	wheeze
18.128376	18.686928	normal
