0.379307	0.921307	wheeze
1.934307	2.568307	wheeze
2.583942	2.822307	normal
2.903285	3.116788	wheeze
3.692307	4.197307	wheeze
4.275547	4.651460	normal
5.339307	5.862307	wheeze
5.949578	6.144457	normal
6.144457	6.455568	wheeze
7.013307	7.509307	wheeze
7.565565	7.756533	normal
7.756533	8.101307	wheeze
8.633307	9.175307	wheeze
9.220695	9.363921	normal
9.363921	9.842024	wheeze
10.261307	10.877307	wheeze
10.942962	11.080736	normal
11.081648	11.405219	wheeze
12.001307	12.598307	wheeze
12.651460	12.811131	normal
12.811131	13.394307	wheeze
13.685307	14.278285	wheeze
14.301095	14.451642	normal
14.461679	15.104730	wheeze
15.517307	16.132307	wheeze
16.157648	16.304747	normal
16.304747	16.743307	wheeze
17.219307	17.798307	wheeze
17.847847	18.109219	normal
18.109219	18.369002	wheeze
